"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Record Type","Latitude","Longitude","Location Employee Size Actual","Location Sales Volume Actual"
"02 Cafe","","","1001 Massachusetts Ave","Cambridge","MA","02138","Verified","042.369644","-071.111271","00001","$68,000"
"1369 Coffee House","Josh","Gerber","1369 Cambridge St","Cambridge","MA","02139","Verified","042.373847","-071.100368","00013","$727,000"
"1369 Coffee House","Gerrad","Wolfe","757 Massachusetts Ave","Cambridge","MA","02139","Verified","042.366670","-071.105292","00015","$839,000"
"2nd Street Cafe","Anthony","Miller","89 2nd St # 1","Cambridge","MA","02141","Verified","042.368532","-071.079307","00002","$112,000"
"9 Zaab","Tom","Daranuwat","569 Cambridge St","Cambridge","MA","02141","Verified","042.372016","-071.085830","00006","$336,000"
"9tastes","Nancy","Jitjaruk","50 Jfk St # 1","Cambridge","MA","02138","Verified","042.371982","-071.120343","00006","$336,000"
"A M American Intl","","","187 Hampshire St","Cambridge","MA","02139","Verified","042.372819","-071.099253","00006","$336,000"
"Abbey","Damian","Dowling","1755 Massachusetts Ave","Cambridge","MA","02140","Verified","042.385110","-071.119246","00006","$336,000"
"ABC Pizza House Inc","Amir","Anbardar","744 Massachusetts Ave","Cambridge","MA","02139","Verified","042.366061","-071.105463","00001","$56,000"
"Abigail's","James","Ludwig","291 3rd St","Cambridge","MA","02142","Verified","042.365580","-071.082690","00010","$560,000"
"Aceituna Cafe","Samer","Malak","605 W Kendall St","Cambridge","MA","02142","Verified","042.364462","-071.082085","00009","$504,000"
"Alden & Harlow","Michael","Scelfo","40 Brattle St","Cambridge","MA","02138","Verified","042.373547","-071.121506","00006","$336,000"
"Aleppo Palace","","","25 Central Sq","Cambridge","MA","02139","Verified","042.365414","-071.104668","00006","$336,000"
"Alfredo's Italian Kitchen","","","691 Cambridge St Frnt","Cambridge","MA","02141","Verified","042.372208","-071.088039","00006","$336,000"
